region,crop,year,rainfall_mm,avg_temperature_c,humidity_pct,soil_ph,soil_nitrogen_kg_ha,soil_phosphorus_kg_ha,soil_potassium_kg_ha,irrigation_pct_area,fertilizer_kg_ha,farm_area_ha,yield_tonnes_per_ha
South,Cotton,2020,770.8,24.7,62.0,6.17,141.2,34.0,179.0,16.7,209.8,2.47,1.32
West,Soybean,2023,1054.8,26.5,20.7,6.99,69.9,44.7,144.3,33.5,150.4,7.14,1.61
West,Maize,2012,1248.0,26.6,80.0,7.43,98.5,51.3,132.6,55.4,234.5,12.28,4.12
West,Maize,2011,927.8,29.3,49.3,6.69,114.1,23.2,130.2,12.9,153.2,2.38,3.41
West,Soybean,2019,1229.5,20.1,64.9,6.48,89.4,42.7,70.5,67.6,179.9,10.87,1.93
Central,Cotton,2022,560.5,21.3,56.6,7.16,106.8,32.6,180.5,84.4,143.7,8.92,1.2
East,Wheat,2016,789.2,33.5,40.7,5.82,72.2,60.2,109.7,57.2,212.0,5.97,1.89
North,Soybean,2021,827.9,23.2,43.9,5.74,120.2,36.8,224.3,29.7,120.3,3.15,1.58
West,Soybean,2018,871.4,25.0,46.0,6.29,128.3,49.9,138.5,12.1,162.1,16.49,2.02
South,Soybean,2010,921.0,23.7,76.3,6.11,84.9,34.5,202.4,1.6,140.7,4.12,1.48
West,Maize,2012,1072.7,19.9,57.8,5.86,187.9,69.0,77.6,73.2,195.8,3.76,4.6
South,Rice,2014,788.8,32.1,52.2,7.96,122.2,19.5,179.3,62.8,203.3,8.2,2.07
South,Wheat,2012,934.8,21.4,46.0,8.24,91.4,52.1,189.5,47.6,113.8,20.24,1.71
West,Cotton,2010,888.7,18.4,77.9,6.22,63.0,25.8,202.1,10.2,204.4,5.67,1.27
Central,Cotton,2024,668.5,21.7,82.0,6.57,122.1,37.4,88.9,20.7,91.4,10.26,1.14
South,Rice,2016,871.6,14.0,77.8,6.35,110.9,48.1,121.9,81.5,311.5,4.88,3.35
South,Soybean,2016,864.1,20.7,67.4,7.39,147.4,48.8,173.1,48.0,149.3,1.98,1.7
West,Wheat,2019,858.7,19.2,64.3,7.54,115.0,48.4,155.9,96.3,243.0,1.06,2.32
South,Cotton,2021,907.9,27.1,41.8,5.08,78.2,47.3,161.7,100.0,192.1,1.17,1.42
South,Sugarcane,2017,918.9,20.6,56.3,6.88,178.5,35.4,135.6,80.1,194.5,0.5,54.64
West,Cotton,2014,791.9,28.4,49.7,5.45,135.2,42.5,212.0,25.8,110.0,6.44,1.09
West,Soybean,2019,1218.2,31.0,32.6,7.91,111.1,45.5,254.3,23.1,230.6,1.12,1.46
North,Sugarcane,2021,607.6,27.9,75.9,6.85,125.8,47.9,154.2,25.4,182.9,16.06,33.57
Central,Rice,2014,719.8,22.9,49.6,5.84,136.6,44.0,168.1,98.7,208.2,32.55,3.35
Central,Wheat,2014,1595.0,24.7,77.9,6.31,70.0,55.9,152.2,33.5,174.6,5.48,2.08
South,Rice,2010,640.5,16.4,73.2,6.27,125.5,46.4,201.4,70.6,187.8,4.78,2.68
Central,Rice,2019,561.6,23.3,68.4,6.92,104.2,48.0,183.2,95.9,126.8,3.42,2.59
South,Wheat,2014,1083.6,19.7,69.2,7.33,137.8,39.3,107.3,82.0,170.8,8.13,2.22
North,Wheat,2015,380.7,27.5,50.8,5.58,94.1,29.2,125.5,59.8,154.8,7.49,1.68
West,Cotton,2024,841.2,36.9,87.9,7.97,98.8,47.3,109.6,16.9,137.7,3.37,0.83
West,Cotton,2022,1436.5,26.5,60.6,7.78,178.2,63.1,257.8,17.5,188.1,3.36,0.91
West,Wheat,2021,513.8,14.0,64.5,5.8,163.1,51.7,175.4,49.2,201.8,8.28,1.88
Central,Sugarcane,2010,404.5,22.2,50.3,6.56,10.0,32.7,126.2,95.2,195.0,6.47,54.09
North,Maize,2020,525.2,24.6,46.0,7.87,160.5,57.2,123.0,90.4,173.9,10.14,3.24
Central,Cotton,2016,1124.6,24.4,67.2,7.49,117.4,40.0,182.2,16.6,204.7,22.7,1.08
Central,Maize,2010,1181.2,20.3,63.3,6.23,95.2,55.7,186.2,28.8,194.5,12.1,3.87
North,Sugarcane,2020,771.9,25.2,48.2,7.15,84.7,39.5,181.9,58.9,185.9,2.9,48.02
North,Wheat,2011,1070.8,17.8,38.4,8.9,86.8,50.3,133.0,47.7,190.0,11.39,1.74
North,Sugarcane,2011,1247.6,19.3,41.0,6.58,96.2,37.2,162.2,11.9,251.0,4.78,53.34
North,Cotton,2014,1346.8,27.2,77.9,5.99,80.6,37.6,154.4,36.9,107.7,12.03,1.13
West,Rice,2023,838.4,18.9,50.8,6.64,72.6,21.5,112.5,95.5,160.9,17.41,2.58
East,Wheat,2019,324.6,26.7,54.9,6.7,83.6,52.7,112.9,95.1,200.3,2.3,1.94
East,Soybean,2022,694.8,17.2,81.8,6.08,131.3,50.6,166.5,55.9,85.0,2.18,1.52
North,Maize,2016,793.3,32.8,43.2,6.85,121.8,51.4,157.9,63.5,263.0,4.53,3.87
East,Sugarcane,2010,835.3,20.1,49.1,5.5,139.5,49.1,172.1,22.2,195.3,0.5,46.51
East,Wheat,2019,853.0,22.9,48.5,5.97,117.7,33.6,181.6,74.2,237.4,9.26,2.44
North,Sugarcane,2010,1179.7,25.7,84.3,7.11,74.3,59.5,210.0,5.2,247.2,11.08,50.49
East,Wheat,2010,1218.6,21.2,89.9,5.1,137.3,59.9,119.0,22.1,204.7,3.39,1.85
Central,Cotton,2015,857.1,24.7,71.3,7.22,84.8,33.2,175.2,0.6,46.0,5.01,1.01
South,Cotton,2011,1174.6,26.9,71.8,4.89,142.6,53.0,180.0,38.6,188.9,7.14,1.01
South,Cotton,2010,989.4,28.8,51.3,5.11,79.2,58.1,137.5,85.0,192.7,0.61,1.3
North,Sugarcane,2015,916.1,28.0,89.2,6.1,95.9,37.9,154.9,98.3,114.8,9.94,50.83
West,Soybean,2023,1126.6,23.1,64.0,6.73,107.4,40.6,138.5,66.8,72.6,5.98,1.82
North,Cotton,2011,918.1,23.3,72.8,7.56,143.6,53.0,234.3,74.5,207.7,7.83,1.58
West,Wheat,2015,1414.5,35.7,58.4,6.55,126.2,22.3,154.2,26.3,105.0,10.29,1.53
South,Cotton,2019,540.4,28.7,56.0,6.3,120.7,28.7,168.1,52.0,303.7,9.01,1.36
North,Rice,2017,771.2,19.4,84.9,6.96,186.0,30.2,139.4,73.7,195.8,0.8,3.08
Central,Cotton,2011,868.4,24.5,68.1,5.8,55.7,18.1,130.8,49.7,261.1,12.21,1.35
East,Sugarcane,2020,1009.9,22.3,81.8,6.61,83.7,61.3,97.9,8.9,181.9,7.53,49.47
West,Soybean,2018,1217.0,23.3,63.8,5.54,82.2,15.2,194.0,74.1,225.1,10.04,2.06
East,Rice,2017,893.9,17.9,47.3,6.57,58.0,50.1,180.7,22.0,183.2,2.43,3.0
East,Sugarcane,2021,544.4,21.9,51.2,6.4,94.8,57.2,138.0,9.8,240.3,2.0,49.0
North,Sugarcane,2019,1110.6,33.1,61.5,5.86,144.1,40.6,114.0,47.8,57.7,13.99,32.23
East,Sugarcane,2010,1088.7,26.9,50.6,6.63,99.3,35.0,157.2,7.5,233.3,3.96,50.99
Central,Wheat,2016,414.5,11.5,43.4,6.63,108.3,48.5,130.1,62.9,220.1,6.85,1.63
East,Sugarcane,2023,899.0,30.1,78.0,7.44,59.7,45.0,141.1,64.0,170.8,6.42,40.16
North,Wheat,2022,502.5,29.4,51.8,5.22,92.1,60.1,99.5,25.7,155.5,7.04,1.59
Central,Sugarcane,2019,733.8,22.2,62.1,6.44,103.8,5.6,158.7,96.5,162.1,0.58,55.39
South,Maize,2015,674.3,27.6,64.4,5.89,142.5,31.2,159.5,82.4,197.0,2.88,4.05
East,Rice,2023,1102.3,19.7,51.2,7.2,61.4,53.4,193.8,11.0,252.8,0.55,2.85
North,Maize,2015,929.2,21.6,81.8,7.1,104.1,45.8,144.0,74.9,147.9,5.23,4.17
South,Sugarcane,2015,578.6,31.5,43.2,6.91,158.0,56.3,136.7,35.3,77.9,18.59,34.62
South,Rice,2015,1120.0,22.6,63.9,5.94,104.4,48.9,87.7,75.0,329.1,3.94,3.77
West,Rice,2019,541.5,14.7,63.7,7.21,46.0,43.0,194.0,80.1,220.3,12.2,2.33
Central,Soybean,2016,982.5,23.7,59.2,5.28,164.8,40.5,185.7,15.1,156.5,2.71,1.56
East,Maize,2021,696.5,23.6,40.5,5.11,145.7,79.9,151.1,66.2,251.3,15.52,3.79
North,Soybean,2012,808.6,30.0,73.1,5.48,150.4,68.0,96.8,86.3,236.0,4.35,1.72
West,Rice,2023,1026.1,24.1,71.2,6.47,59.0,52.4,101.4,32.3,209.5,3.51,3.54
Central,Wheat,2015,1030.4,21.9,49.9,7.04,172.9,46.2,128.1,8.0,151.4,9.56,2.43
West,Rice,2012,1234.2,29.2,70.6,4.12,92.9,53.1,188.6,2.7,220.0,5.75,2.04
Central,Soybean,2016,879.4,24.6,65.6,7.56,102.2,57.4,161.6,11.0,245.4,3.29,1.58
Central,Maize,2016,976.6,20.2,40.8,6.6,95.4,51.3,90.3,0.4,76.8,0.5,3.23
East,Sugarcane,2017,790.6,29.8,47.2,5.25,153.1,33.7,166.2,32.7,193.5,1.46,38.68
Central,Sugarcane,2011,945.5,25.0,77.1,6.58,113.7,71.8,116.4,29.9,197.9,11.84,46.14
West,Maize,2018,1009.9,24.0,64.6,7.37,136.9,48.7,129.1,11.0,196.0,20.28,3.97
Central,Sugarcane,2022,875.4,24.9,51.5,6.98,122.7,75.2,188.9,65.1,182.8,1.48,52.14
East,Sugarcane,2014,449.1,18.6,47.1,7.38,116.7,47.8,180.6,99.2,251.2,6.74,47.83
East,Soybean,2018,982.9,21.4,52.3,5.41,86.9,41.3,193.7,90.1,167.3,0.5,2.17
West,Maize,2019,991.1,24.0,53.3,6.17,183.4,65.8,149.1,25.3,179.8,2.75,3.87
South,Cotton,2014,730.0,23.0,47.3,5.76,68.8,49.5,185.3,77.0,198.9,4.77,1.31
South,Wheat,2016,578.9,30.4,33.9,7.87,134.4,47.0,126.6,93.7,169.3,10.65,1.81
Central,Wheat,2020,1269.0,25.1,77.1,7.01,133.2,27.0,139.7,90.6,96.8,0.5,2.03
North,Sugarcane,2018,1022.9,28.3,74.6,8.78,160.4,54.9,136.9,88.5,192.8,12.16,39.5
Central,Wheat,2024,842.7,24.0,40.9,6.13,168.6,37.6,151.0,78.6,193.5,1.81,2.59
West,Maize,2013,615.7,29.3,62.0,5.92,115.2,38.3,98.5,29.3,158.1,11.4,3.38
West,Maize,2011,694.5,26.0,46.5,6.39,138.6,37.6,141.0,8.4,172.1,7.86,4.08
West,Rice,2018,1225.6,24.1,56.1,7.6,181.8,51.6,208.1,48.8,0.0,3.32,2.08
West,Rice,2022,934.4,23.9,54.8,6.21,117.7,22.0,106.3,5.5,252.5,10.29,3.11
West,Wheat,2011,762.4,19.2,53.6,6.6,82.7,41.8,96.8,99.8,234.1,2.16,2.41
East,Cotton,2012,1027.4,26.5,90.0,6.58,106.5,59.7,100.1,35.8,99.7,1.98,1.46
South,Rice,2019,696.4,23.8,53.4,6.53,74.3,26.3,256.5,95.8,139.5,0.51,3.3
West,Rice,2011,1275.2,21.5,47.9,5.98,133.0,47.6,168.6,77.3,266.9,3.99,3.31
North,Maize,2012,1238.2,29.5,48.6,6.39,157.3,35.5,139.2,41.1,110.7,0.82,3.4
North,Cotton,2015,783.4,17.7,75.7,6.36,115.8,38.9,152.7,11.8,208.7,4.35,1.37
North,Sugarcane,2012,742.8,21.9,35.2,6.49,63.3,69.8,159.1,23.7,150.5,0.5,44.09
North,Wheat,2024,245.5,29.1,48.6,7.25,155.8,20.2,124.4,67.3,204.6,1.35,1.54
East,Rice,2019,529.6,25.6,81.7,7.91,57.8,56.5,129.3,83.0,183.0,21.55,2.47
North,Cotton,2017,565.1,23.8,63.7,5.83,65.9,37.8,143.7,97.9,163.0,12.7,1.13
West,Cotton,2020,933.8,25.3,62.9,6.19,113.8,37.1,121.0,13.2,203.3,2.16,1.39
Central,Wheat,2015,818.4,24.9,92.0,5.84,128.8,28.3,134.1,15.6,150.4,10.14,2.31
North,Cotton,2016,563.7,16.4,63.7,6.65,134.8,56.3,164.1,4.2,72.9,8.83,0.77
East,Cotton,2010,829.7,22.3,49.4,6.07,117.7,42.1,110.1,26.0,124.3,1.56,1.09
East,Cotton,2012,1026.3,32.1,55.8,6.69,181.6,40.2,254.4,82.1,117.1,3.71,1.32
North,Rice,2012,1032.0,20.7,43.0,7.38,122.3,46.6,180.1,19.8,83.8,19.6,2.25
Central,Wheat,2011,425.1,22.4,78.8,4.48,156.2,42.4,99.2,54.8,202.2,10.74,1.71
North,Cotton,2016,867.9,21.3,68.6,6.89,147.5,15.0,50.9,44.6,169.6,11.43,1.34
East,Cotton,2018,554.2,23.6,76.9,6.13,74.7,37.6,122.5,32.6,201.2,6.64,1.32
South,Rice,2013,1125.4,21.1,78.2,6.87,114.1,58.4,177.4,61.8,211.2,8.76,2.97
West,Wheat,2021,1096.0,26.4,53.8,5.78,194.3,22.4,169.6,50.2,225.4,5.69,1.93
East,Maize,2014,675.5,25.0,45.8,7.46,102.3,28.7,145.6,33.5,204.4,10.8,3.73
North,Rice,2012,708.5,27.9,59.2,7.23,96.4,38.6,125.9,68.9,121.2,10.56,2.16
West,Wheat,2020,784.7,18.7,46.9,6.95,126.0,34.1,113.8,28.0,214.8,0.5,2.35
North,Cotton,2018,336.8,22.3,62.5,7.13,103.6,44.6,133.9,64.3,193.3,7.99,1.1
North,Wheat,2023,984.0,22.9,77.0,5.9,92.2,28.6,109.5,95.7,311.4,7.95,3.01
South,Wheat,2013,831.8,26.3,57.5,6.0,103.1,39.2,134.0,72.9,180.5,0.56,2.53
West,Sugarcane,2014,1142.5,20.0,62.2,7.1,170.1,44.3,203.2,41.8,203.0,4.23,39.62
West,Wheat,2010,625.4,28.6,58.6,5.89,115.2,54.7,119.2,74.8,174.3,18.32,2.06
South,Maize,2020,745.2,29.9,72.0,7.66,73.5,63.7,174.4,80.9,182.9,24.54,3.59
East,Wheat,2021,523.4,19.1,50.0,6.24,67.1,41.1,180.5,32.6,178.9,12.19,2.01
North,Maize,2024,648.9,21.5,27.1,6.9,197.2,73.3,106.8,70.5,153.9,1.31,3.59
Central,Cotton,2022,604.5,21.3,67.1,8.18,112.2,42.2,116.3,43.4,190.6,3.76,0.96
North,Maize,2011,1149.0,37.2,74.8,5.94,135.2,57.4,192.8,81.9,217.3,1.61,3.98
North,Cotton,2021,725.4,21.9,66.7,6.56,93.0,74.0,113.0,29.5,154.8,8.45,1.33
East,Cotton,2022,931.0,32.4,50.4,7.34,131.2,47.1,147.7,93.8,230.1,11.87,1.24
North,Maize,2018,804.8,17.7,43.0,7.26,171.1,24.4,231.6,57.5,222.9,17.22,4.18
South,Rice,2011,582.6,19.1,67.4,6.24,97.2,46.4,189.2,35.3,127.2,15.77,2.5
South,Soybean,2014,857.9,20.6,62.1,6.09,136.1,35.8,153.4,41.9,122.2,0.84,1.78
West,Wheat,2022,1049.8,19.8,58.1,6.31,70.8,40.9,183.6,34.8,206.9,1.07,2.55
Central,Sugarcane,2017,598.1,22.7,87.3,7.66,190.8,74.8,147.8,14.6,144.7,19.23,32.58
North,Soybean,2012,1102.3,20.5,45.8,6.28,129.4,26.7,190.7,6.8,117.3,14.85,1.86
North,Wheat,2015,687.6,19.9,86.6,6.56,105.6,49.5,68.1,32.2,283.0,4.94,2.66
East,Wheat,2013,779.3,29.8,60.5,6.16,109.6,31.8,144.4,45.9,122.0,4.5,2.03
South,Cotton,2020,1032.7,30.1,32.5,7.06,102.1,40.4,66.5,36.2,88.6,6.44,1.11
Central,Wheat,2016,734.1,28.7,57.3,6.62,103.9,56.2,156.5,1.4,133.0,7.26,1.93
West,Sugarcane,2019,909.4,26.6,74.4,5.7,34.3,49.8,140.6,57.9,193.9,2.35,45.27
South,Wheat,2023,821.3,24.5,54.5,5.72,116.6,41.6,204.4,14.5,184.4,4.14,2.26
West,Maize,2022,932.3,21.5,37.9,4.9,115.1,35.3,178.5,21.1,293.2,7.73,3.58
East,Soybean,2012,304.8,19.2,57.5,5.83,137.1,49.7,129.0,12.1,133.9,1.85,1.27
East,Maize,2015,442.6,25.8,47.1,7.14,101.7,70.6,133.8,52.0,194.2,54.03,3.49
North,Sugarcane,2024,1054.0,18.1,67.4,7.56,93.0,31.5,165.2,9.5,247.7,2.66,44.36
Central,Wheat,2021,1159.3,19.0,71.6,7.05,119.7,73.7,127.1,25.6,140.5,6.43,2.15
West,Sugarcane,2024,672.4,29.8,44.2,6.94,63.6,63.0,148.7,45.2,222.2,6.46,45.27
South,Cotton,2019,839.0,33.5,49.4,6.4,125.0,65.5,202.7,16.8,70.1,4.8,1.03
East,Maize,2018,973.7,26.0,71.3,7.12,54.8,49.6,116.8,44.6,285.5,2.21,3.93
North,Maize,2020,1073.3,29.5,47.1,6.73,159.2,62.6,132.1,34.3,239.7,6.67,4.37
North,Rice,2019,393.1,22.8,43.8,7.94,143.9,29.9,137.7,86.1,139.2,0.76,2.19
West,Wheat,2010,678.5,17.3,42.3,6.42,87.6,35.0,276.3,79.5,229.8,3.91,2.45
East,Cotton,2012,816.9,27.1,65.3,7.57,143.1,56.5,174.3,99.3,258.8,2.03,1.34
Central,Maize,2011,1075.8,26.8,64.6,7.2,123.9,49.4,195.3,52.9,102.7,1.06,3.9
East,Maize,2017,1524.6,24.4,49.7,7.09,84.7,42.8,180.7,57.5,144.0,20.77,3.48
West,Cotton,2016,843.0,22.8,60.1,4.89,49.2,7.5,183.4,94.7,260.8,9.63,1.26
West,Sugarcane,2011,548.3,28.8,82.9,7.24,131.1,38.5,168.9,40.0,184.0,1.48,36.87
East,Sugarcane,2015,1000.6,19.1,45.4,6.4,92.2,27.4,164.6,55.6,206.2,23.87,55.88
West,Wheat,2024,1230.2,20.1,30.7,6.14,158.3,52.4,92.0,37.9,184.2,1.95,2.19
East,Rice,2012,927.0,19.0,66.8,5.31,120.5,42.1,164.3,54.6,233.5,2.15,2.78
South,Maize,2017,673.3,24.4,58.3,6.5,95.5,35.6,145.7,8.1,210.8,1.14,3.94
East,Rice,2019,1139.5,18.6,49.3,6.53,182.9,84.6,171.8,78.4,186.4,10.41,3.34
East,Sugarcane,2022,1065.9,20.6,69.8,5.46,140.2,60.6,147.2,98.5,53.9,6.77,41.34
West,Sugarcane,2012,643.5,20.5,72.6,5.32,10.0,60.8,180.5,6.6,218.4,0.5,34.43
West,Soybean,2019,995.4,22.7,26.9,6.89,103.0,78.0,187.6,80.1,223.8,0.5,2.09
North,Wheat,2023,1149.3,16.6,50.2,7.2,71.6,57.0,33.5,24.2,105.6,6.09,1.78
North,Soybean,2018,1195.5,24.4,94.8,6.65,92.0,33.4,132.6,19.8,109.7,8.43,1.64
South,Soybean,2010,883.4,30.2,68.8,7.42,114.9,31.7,75.7,69.3,211.1,13.85,1.49
North,Soybean,2014,810.5,24.7,70.1,6.43,132.4,59.5,159.6,4.4,191.7,5.2,1.79
East,Wheat,2012,1206.8,31.7,77.6,6.46,129.1,14.1,138.0,46.3,61.5,9.03,1.8
West,Wheat,2015,597.5,30.7,60.3,5.77,157.7,43.8,204.2,0.1,130.7,10.58,1.58
North,Cotton,2019,1009.6,27.9,72.0,5.25,142.3,12.4,158.3,55.4,198.8,7.6,1.31
North,Rice,2011,557.5,24.4,70.8,7.98,140.1,46.5,130.6,46.2,220.6,3.47,2.01
South,Rice,2018,1166.3,24.1,68.1,7.41,127.1,57.8,187.5,91.5,144.9,1.13,2.71
South,Cotton,2015,835.5,27.8,55.2,5.39,165.0,49.2,137.3,72.0,171.2,8.34,1.27
East,Cotton,2016,1217.1,22.0,62.6,6.62,108.9,59.1,130.1,12.6,127.2,11.71,1.11
West,Sugarcane,2014,1022.9,14.6,51.2,6.42,109.8,74.5,165.7,35.5,259.4,1.68,44.43
South,Soybean,2018,594.2,26.5,60.2,6.28,53.3,42.8,214.5,93.2,190.5,5.46,1.82
North,Cotton,2010,1256.2,18.3,42.5,6.17,157.0,87.1,184.1,72.5,139.9,4.05,1.23
West,Maize,2014,1287.8,19.2,48.1,6.81,117.3,48.2,172.7,59.4,110.6,1.84,3.37
West,Rice,2020,1120.6,24.0,55.8,7.15,222.7,59.2,260.0,55.9,104.0,2.25,2.56
North,Cotton,2019,709.6,23.5,45.8,6.82,105.8,35.8,120.7,39.8,288.7,2.17,1.53
South,Maize,2020,823.5,16.9,52.4,6.4,123.1,69.3,119.8,58.5,169.6,4.34,3.93
North,Maize,2015,936.4,24.8,57.5,6.37,139.1,60.6,155.8,77.2,156.0,3.96,4.02
West,Maize,2016,724.1,28.8,66.0,7.25,81.4,67.1,210.6,12.8,167.2,6.46,3.28
Central,Sugarcane,2021,1323.1,18.4,74.2,6.87,132.5,45.8,112.3,97.0,142.2,0.78,38.95
Central,Sugarcane,2013,936.1,30.4,53.0,6.56,121.2,26.2,220.2,23.9,173.6,6.96,49.63
East,Maize,2021,224.2,16.2,80.0,6.47,109.4,51.9,92.4,44.8,182.1,0.5,3.27
North,Sugarcane,2022,984.8,34.6,74.1,6.78,161.0,19.5,145.2,2.3,180.9,2.38,39.29
North,Soybean,2010,813.0,21.9,67.6,6.13,88.4,40.0,156.9,55.0,104.2,5.58,1.87
East,Maize,2024,881.3,24.7,62.3,7.16,129.6,47.9,114.7,38.2,233.5,9.29,4.0
East,Soybean,2020,807.8,14.5,64.8,5.64,170.9,80.7,125.2,25.0,146.8,11.8,1.41
East,Soybean,2017,1101.8,23.7,77.8,6.17,95.3,49.8,181.9,98.6,140.5,0.5,1.98
West,Maize,2019,1179.9,25.1,78.4,6.99,109.6,47.1,207.7,42.8,137.8,6.17,3.76
North,Rice,2013,970.8,23.6,80.0,5.59,202.1,44.1,65.4,41.4,116.9,3.5,2.69
West,Maize,2012,815.2,21.2,60.6,5.24,136.6,24.9,157.2,46.3,196.1,9.5,3.56
East,Maize,2021,889.7,19.3,68.3,6.55,102.3,46.3,145.5,11.6,233.7,2.67,4.1
North,Sugarcane,2016,904.9,29.7,80.2,5.14,148.1,46.5,154.3,39.3,136.6,10.89,37.5
West,Maize,2021,699.4,24.2,50.6,5.46,100.1,30.5,137.3,33.6,69.4,7.38,3.33
